career_name,stream,after_10th_options,after_12th_options,skills_required,roadmap,recommended_courses,top_colleges,salary_range,growth_outlook,tags
Graphic Designer,Arts,"Learn tools","Design Degree","Creativity","Portfolio","Adobe Suite","NID","3-15 LPA","Medium","design"
UI UX Designer,Arts,"Design basics","Design Courses","UX;Tools","Projects→Portfolio","UI/UX Courses","NID","5-25 LPA","High","design;ui"
Animator,Arts,"Drawing","Animation Degree","Animation","Portfolio","Animation Courses","Arena","3-15 LPA","High","animation"
Fashion Designer,Arts,"Creativity","Fashion Degree","Design","Portfolio","Fashion Design","NIFT","3-15 LPA","Medium","fashion"
Journalist,Arts,"Writing","Journalism Degree","Communication","Internships","Mass Comm","Top Colleges","3-12 LPA","Medium","media"
Psychologist,Arts,"Any","Psychology Degree","Understanding","Masters","Psychology","Universities","3-15 LPA","High","mental"
Lawyer,Arts,"Any","LLB","Argument","Practice","Law","NLUs","4-20 LPA","High","law"
Teacher,Any,"Any","B.Ed","Teaching","Training","Education","Colleges","2-8 LPA","Stable","education"
Content Creator,Arts,"Social media","Any","Creativity","Build audience","Content Courses","NA","Variable","High","creative"
Photographer,Arts,"Photography","Courses","Creativity","Portfolio","Photography","NA","2-15 LPA","Medium","creative"
Chef,Vocational,"Cooking","Hotel Mgmt","Cooking","Training","Culinary","IHM","2-10 LPA","Medium","food"
Hotel Manager,Vocational,"Hospitality","Hotel Mgmt","Management","Training","Hotel Mgmt","IHM","3-15 LPA","High","hospitality"
Electrician,Vocational,"ITI","Diploma","Electrical","Practice","ITI","ITI","2-8 LPA","Stable","technical"
Plumber,Vocational,"ITI","Training","Repair","Practice","Plumbing","ITI","2-7 LPA","Stable","technical"
Carpenter,Vocational,"ITI","Training","Woodwork","Practice","Carpentry","ITI","2-6 LPA","Stable","technical"
Mechanic,Vocational,"ITI","Training","Repair","Practice","Mechanic","ITI","2-8 LPA","Stable","technical"
Tailor,Vocational,"Sewing","Courses","Stitching","Practice","Tailoring","NA","2-6 LPA","Stable","fashion"
Blockchain Developer,Science,"Coding","CS Degree","Blockchain","Projects","Blockchain","Any","10-50 LPA","High","web3"
Cloud Engineer,Science,"Networking","CS Degree","Cloud","Certifications","AWS;Azure","Any","6-30 LPA","Very High","cloud"
DevOps Engineer,Science,"Coding","CS Degree","CI/CD","Tools","DevOps","Any","6-30 LPA","Very High","devops"
Robotics Engineer,Science,"PCM","B.Tech Robotics","Robotics","Projects","Robotics","IITs","6-25 LPA","High","robotics"
Ethical Hacker,Science,"Networking","IT Degree","Security","Practice","CEH","Any","5-20 LPA","High","security"
AR VR Developer,Science,"Coding","CS Degree","AR/VR","Projects","AR/VR","Any","6-25 LPA","High","vr"
Game Tester,Science,"Gaming","Courses","Testing","QA","Game Testing","NA","3-10 LPA","Medium","gaming"
Sports Coach,Any,"Sports","Certification","Fitness","Training","Sports","Academies","3-12 LPA","Medium","sports"
Fitness Trainer,Any,"Fitness","Certification","Health","Practice","Fitness","NA","2-10 LPA","High","fitness"
Social Worker,Arts,"Any","Social Work","Empathy","NGO work","Social Work","Universities","2-8 LPA","Stable","social"
